dataset,modification,percentage,method,metric,value
Dancer 01,betweenness asc,0.4,Fastgreedy,Modularity,0.6696906674792368
Dancer 01,betweenness asc,0.4,Fastgreedy,NMI,0.5863105622698993
Dancer 01,betweenness asc,0.4,Infomap,P,215.0
Dancer 01,betweenness asc,0.4,Infomap,P*/P,0.027906976744186046
Dancer 01,betweenness asc,0.4,Infomap,Modularity,0.5982908673427166
Dancer 01,betweenness asc,0.4,Infomap,NMI,0.4503362512769091
Dancer 01,betweenness asc,0.4,Label Propagation,P,97.0
Dancer 01,betweenness asc,0.4,Label Propagation,P*/P,0.061855670103092786
Dancer 01,betweenness asc,0.4,Label Propagation,Modularity,0.6667722288136917
Dancer 01,betweenness asc,0.4,Label Propagation,NMI,0.6043286114771512
Dancer 01,betweenness asc,0.4,Louvain,P,101.0
Dancer 01,betweenness asc,0.4,Louvain,P*/P,0.0594059405940594
Dancer 01,betweenness asc,0.4,Louvain,Modularity,0.6705807917520927
Dancer 01,betweenness asc,0.4,Louvain,NMI,0.5937550498423286
Dancer 01,betweenness desc,0.4,Louvain-igraph,P,150.0
Dancer 01,betweenness desc,0.4,Louvain-igraph,P*/P,0.04
Dancer 01,betweenness desc,0.4,Louvain-igraph,Modularity,0.7360212531895987
Dancer 01,betweenness desc,0.4,Louvain-igraph,NMI,0.5896113981110532
